file,msg,msg_zh,source,msg_id,cutscene_source,wem_id,deprecated,msg_id_number
/@/ogg/921264021.ogg,Lord brother.,哥哥。,Cutscene,21020000,Miquella,921264021.wem,,21020000
/@/ogg/298764846.ogg,I'm going to be a god.,我一定会成为神祇。,Cutscene,21020100,Miquella,298764846.wem,,21020100
/@/ogg/499533316.ogg,"If we honour our part of the vow,",所以说，如果我们实现约定，,Cutscene,21020200,Miquella,499533316.wem,,21020200
/@/ogg/1055670872.ogg,promise me you'll be my consort.,请你成为我的王。,Cutscene,21020300,Miquella,1055670872.wem,,21020300
/@/ogg/426708343.ogg,I'll make the world a gentler place.,……我想打造一个温柔的世界。,Cutscene,21020400,Miquella,426708343.wem,,21020400
/@/ogg/829750469.ogg,"O Horn-deck'd beast, from higher sphere deliver'd.",噢，角之兽啊，神兽啊──,Cutscene,21030000,,829750469.wem,,21030000
/@/ogg/629858180.ogg,"O Horn-deck'd beast, from higher sphere deliver'd.",……噢，角之兽啊，神兽啊……,Cutscene,21030050,,629858180.wem,,21030050
/@/ogg/279849386.ogg,Take root inside the tower's sculpted keepers.,栖宿于塔之子，勇人们的体内，,Cutscene,21030100,,279849386.wem,,21030100
/@/ogg/725318206.ogg,We beg of thee to dance and cavort.,……为了我等、舞动吧……,Cutscene,21030150,,725318206.wem,,21030150
/@/ogg/12601609.ogg,"And perch'd within, we beg of thee; rise.",为了我等舞动吧。,Cutscene,21030200,,12601609.wem,,21030200
/@/ogg/699921586.ogg,And with the beauty of thy grand display...,……舞得绚丽、舞得华美……,Cutscene,21030250,,699921586.wem,,21030250
/@/ogg/991387245.ogg,"Dance and cavort, cleanse all that thou wilt.",舞得绚丽、舞得华美，净化一切吧──,Cutscene,21030300,,991387245.wem,,21030300
/@/ogg/336746225.ogg,Cleanse away the foulness fate imposed.,……净化、厄运吧……,Cutscene,21030350,,336746225.wem,,21030350
/@/ogg/750034468.ogg,"Cruelty, woe, and those who plague the tower.",净化厄运、恶贼、塔的仇敌……,Cutscene,21030400,,750034468.wem,,21030400
/@/ogg/642179989.ogg,Cleanse away the strumpet's vile progeny.,……净化那群、恶妇之子……！,Cutscene,21030450,,642179989.wem,,21030450
/@/ogg/873650799.ogg,Cleanse away the strumpet's vile progeny.,净化那群恶妇之子！,Cutscene,21030500,,873650799.wem,,21030500
/@/ogg/336394170.ogg,My loyal blade. And champion of the festival.,我的锋刃，以及祭典的英雄啊。,Cutscene,21041000,Miquella,336394170.wem,,21041000
/@/ogg/840255970.ogg,Both your deeds will ever be praised in song.,你们奋战的轨迹，将被永世传唱。,Cutscene,21041100,Miquella,840255970.wem,,21041100
/@/ogg/202803759.ogg,"Now, the vow will be honoured, and my Lord brother's soul will return.",如今约定履行，强大灵魂即将归来──,Cutscene,21041200,Miquella,202803759.wem,,21041200
/@/ogg/632829738.ogg,So that he may be my consort.,成为我的王。,Cutscene,21041300,Miquella,632829738.wem,,21041300
/@/ogg/460063607.ogg,I hereby swear.,我在此宣誓：,Cutscene,21050000,Miquella,460063607.wem,1,21050000
/@/ogg/423380559.ogg,Lord brother.,……哥哥。,Cutscene,21050050,Miquella,423380559.wem,,21050050
/@/ogg/68664852.ogg,"To every living being, and every living soul.",所有的生命，所有的灵魂啊，,Cutscene,21050100,Miquella,68664852.wem,1,21050100
/@/ogg/665387478.ogg,"At long last, you are returned.",你终于回来了。,Cutscene,21050150,Miquella,665387478.wem,,21050150
/@/ogg/703558579.ogg,Now comes the age of our eden.,接下来即将迈入乐园时代──,Cutscene,21050200,Miquella,703558579.wem,1,21050200
